epoch,cycle,learning_rate,entropy_term,kl_divergence_term,continuous_loss,discrete_loss,max_1,max_2,max_3,max_4,max_5,max_6,max_7,max_8,max_9,max_10,max_11,max_12,max_13,max_14,max_15,max_16,max_17,max_18,max_19,max_20,token_id_1,token_id_2,token_id_3,token_id_4,token_id_5,token_id_6,token_id_7,token_id_8,token_id_9,token_id_10,token_id_11,token_id_12,token_id_13,token_id_14,token_id_15,token_id_16,token_id_17,token_id_18,token_id_19,token_id_20
0.0,0.0,0.1,0.0022665709257125854,0.0019817352294921875,8.283492088317871,1.162208914756775,4.941225051879883e-05,4.9591064453125e-05,4.9233436584472656e-05,4.941225051879883e-05,4.947185516357422e-05,4.953145980834961e-05,4.941225051879883e-05,4.947185516357422e-05,4.941225051879883e-05,4.947185516357422e-05,4.947185516357422e-05,4.953145980834961e-05,4.941225051879883e-05,4.929304122924805e-05,4.935264587402344e-05,4.935264587402344e-05,4.935264587402344e-05,4.935264587402344e-05,4.935264587402344e-05,4.953145980834961e-05,995.0,777.0,1767.0,1621.0,1062.0,2751.0,311.0,1091.0,960.0,618.0,3586.0,690.0,1105.0,2252.0,1435.0,1621.0,1010.0,1167.0,1156.0,990.0
1.0,0.0,0.1,0.002272597514092922,0.0016460418701171875,7.306867599487305,1.2512786388397217,0.00045752525329589844,0.0007233619689941406,0.0001366138458251953,9.918212890625e-05,0.00047135353088378906,0.0005507469177246094,0.0001061558723449707,0.00028133392333984375,0.00051116943359375,0.00010544061660766602,0.0001690387725830078,0.0004832744598388672,0.00046515464782714844,0.00018358230590820312,0.0001983642578125,0.000152587890625,0.00040268898010253906,0.0009694099426269531,0.000537872314453125,0.0004687309265136719,4805.0,1411.0,26118.0,28520.0,4508.0,272.0,26905.0,491.0,543.0,22739.0,22739.0,4852.0,2268.0,14586.0,14586.0,23170.0,385.0,964.0,3446.0,2166.0
2.0,0.0,0.1,0.002246662275865674,0.0014820098876953125,5.7872090339660645,1.3141748905181885,0.003490447998046875,0.002044677734375,0.00035572052001953125,0.00014543533325195312,0.0012388229370117188,0.0014486312866210938,0.00024366378784179688,0.0006251335144042969,0.0029506683349609375,0.00016033649444580078,0.0003516674041748047,0.0010423660278320312,0.0010175704956054688,0.00047016143798828125,0.00031757354736328125,0.0003719329833984375,0.0005736351013183594,0.003032684326171875,0.0014772415161132812,0.0012311935424804688,2186.0,4596.0,27679.0,28520.0,4508.0,29958.0,9028.0,491.0,1055.0,22739.0,22739.0,4852.0,2268.0,14586.0,14586.0,23170.0,5794.0,964.0,3446.0,3446.0
3.0,0.0,0.1,0.0022278563119471073,0.0013895034790039062,3.144899606704712,1.3435934782028198,0.007076263427734375,0.003879547119140625,0.0010061264038085938,0.00019407272338867188,0.0014085769653320312,0.002742767333984375,0.000354766845703125,0.000919342041015625,0.0091400146484375,0.00020039081573486328,0.0006189346313476562,0.0014019012451171875,0.002086639404296875,0.0009598731994628906,0.0006089210510253906,0.0006380081176757812,0.0010156631469726562,0.004932403564453125,0.0023345947265625,0.002033233642578125,2186.0,4596.0,27679.0,28520.0,4508.0,29958.0,6501.0,491.0,5018.0,22739.0,22739.0,4852.0,2358.0,14586.0,14586.0,23170.0,5794.0,964.0,3446.0,3446.0
4.0,0.0,0.1,0.0022252374328672886,0.0013256072998046875,2.890716552734375,1.2624415159225464,0.00882720947265625,0.004901885986328125,0.00191497802734375,0.0002455711364746094,0.0014247894287109375,0.0037994384765625,0.00048279762268066406,0.00121307373046875,0.0226287841796875,0.0002460479736328125,0.0009713172912597656,0.0014753341674804688,0.0033550262451171875,0.001590728759765625,0.0010318756103515625,0.0009212493896484375,0.0029964447021484375,0.006317138671875,0.00301361083984375,0.002521514892578125,2186.0,8713.0,27679.0,28520.0,704.0,29958.0,23228.0,491.0,704.0,22739.0,22739.0,4852.0,2358.0,14586.0,14586.0,23170.0,385.0,964.0,3446.0,3446.0
5.0,0.0,0.1,0.002228284953162074,0.0012912750244140625,2.801966905593872,1.1596593856811523,0.0089569091796875,0.00827789306640625,0.0028476715087890625,0.0003304481506347656,0.001148223876953125,0.00428009033203125,0.0006155967712402344,0.0014848709106445312,0.051025390625,0.00030493736267089844,0.0014162063598632812,0.001220703125,0.00463104248046875,0.002246856689453125,0.0015439987182617188,0.0010976791381835938,0.00948333740234375,0.00543212890625,0.0034332275390625,0.00331878662109375,15761.0,8713.0,27679.0,28520.0,491.0,29958.0,20607.0,491.0,5671.0,22739.0,22739.0,4852.0,2358.0,14586.0,14586.0,23170.0,385.0,964.0,3446.0,3047.0
6.0,0.0,0.1,0.0022347804624587297,0.0012617111206054688,2.673070192337036,1.196671962738037,0.01007843017578125,0.01499176025390625,0.0037384033203125,0.0004353523254394531,0.0012378692626953125,0.0051422119140625,0.0008883476257324219,0.0016870498657226562,0.06768798828125,0.0003509521484375,0.0019321441650390625,0.001556396484375,0.00597381591796875,0.002780914306640625,0.0020313262939453125,0.00138092041015625,0.0205078125,0.004253387451171875,0.0038356781005859375,0.010772705078125,15761.0,8713.0,28713.0,28520.0,491.0,9446.0,20607.0,491.0,5671.0,22739.0,22739.0,14877.0,2358.0,14586.0,14586.0,11579.0,385.0,63.0,3446.0,20001.0
7.0,0.0,0.1,0.002241831738501787,0.0012350082397460938,2.3247642517089844,1.2289963960647583,0.01250457763671875,0.0253448486328125,0.004791259765625,0.000530242919921875,0.00174713134765625,0.007312774658203125,0.0012655258178710938,0.0018663406372070312,0.055877685546875,0.00038814544677734375,0.0024623870849609375,0.00197601318359375,0.00743865966796875,0.0031642913818359375,0.0023365020751953125,0.0023746490478515625,0.027740478515625,0.005779266357421875,0.0037899017333984375,0.0386962890625,5382.0,8713.0,28713.0,28520.0,310.0,9446.0,20607.0,491.0,410.0,17323.0,22739.0,14877.0,2358.0,14586.0,14586.0,385.0,385.0,63.0,3446.0,20001.0
8.0,0.0,0.1,0.002243505325168371,0.00119781494140625,2.047934055328369,1.182911992073059,0.0172119140625,0.037353515625,0.00580596923828125,0.0005626678466796875,0.0025348663330078125,0.01012420654296875,0.0021305084228515625,0.00199127197265625,0.06646728515625,0.0007233619689941406,0.0029392242431640625,0.0024471282958984375,0.0091094970703125,0.0034084320068359375,0.0025787353515625,0.00835418701171875,0.0254974365234375,0.0067291259765625,0.0042724609375,0.09375,5382.0,8713.0,28713.0,28520.0,310.0,9446.0,29811.0,491.0,410.0,1846.0,22739.0,14877.0,2358.0,14586.0,385.0,385.0,385.0,63.0,8360.0,20001.0
9.0,0.0,0.1,0.002238767920061946,0.0011615753173828125,1.9839695692062378,1.4487007856369019,0.023284912109375,0.0491943359375,0.00669097900390625,0.0008196830749511719,0.00351715087890625,0.01346588134765625,0.0036716461181640625,0.002056121826171875,0.060394287109375,0.0014009475708007812,0.0037555694580078125,0.0028667449951171875,0.01119232177734375,0.003414154052734375,0.00408172607421875,0.0194244384765625,0.0203704833984375,0.00701141357421875,0.007289886474609375,0.1644287109375,5382.0,8713.0,28713.0,21958.0,310.0,9446.0,29811.0,491.0,337.0,1846.0,13697.0,14877.0,2358.0,14586.0,385.0,385.0,385.0,63.0,22550.0,20001.0
