epoch,cycle,learning_rate,entropy_term,kl_divergence_term,continuous_loss,discrete_loss,max_1,max_2,max_3,max_4,max_5,max_6,max_7,max_8,max_9,max_10,max_11,max_12,max_13,max_14,max_15,max_16,max_17,max_18,max_19,max_20,token_id_1,token_id_2,token_id_3,token_id_4,token_id_5,token_id_6,token_id_7,token_id_8,token_id_9,token_id_10,token_id_11,token_id_12,token_id_13,token_id_14,token_id_15,token_id_16,token_id_17,token_id_18,token_id_19,token_id_20
0.0,0.0,0.1,0.0022665683645755053,0.0019817352294921875,7.093710422515869,1.3626021146774292,4.935264587402344e-05,4.947185516357422e-05,4.941225051879883e-05,4.941225051879883e-05,4.929304122924805e-05,4.947185516357422e-05,4.941225051879883e-05,4.941225051879883e-05,4.947185516357422e-05,4.935264587402344e-05,4.947185516357422e-05,4.935264587402344e-05,4.935264587402344e-05,4.941225051879883e-05,4.953145980834961e-05,4.953145980834961e-05,4.947185516357422e-05,4.9591064453125e-05,4.947185516357422e-05,4.935264587402344e-05,2041.0,538.0,561.0,638.0,1748.0,975.0,3303.0,563.0,616.0,374.0,585.0,330.0,1099.0,5790.0,1588.0,1988.0,1623.0,545.0,1165.0,2038.0
1.0,0.0,0.1,0.002298773964866996,0.0018625259399414062,6.616352558135986,1.2678180932998657,0.00933837890625,8.410215377807617e-05,0.0001214146614074707,0.00011247396469116211,0.00016319751739501953,9.697675704956055e-05,0.0001100301742553711,9.870529174804688e-05,9.5367431640625e-05,9.709596633911133e-05,8.213520050048828e-05,8.064508438110352e-05,8.004903793334961e-05,7.319450378417969e-05,8.243322372436523e-05,6.276369094848633e-05,6.324052810668945e-05,6.16312026977539e-05,6.914138793945312e-05,7.390975952148438e-05,17467.0,11578.0,2268.0,432.0,7110.0,1800.0,3072.0,16978.0,29922.0,29992.0,4525.0,3671.0,2005.0,8414.0,29987.0,525.0,24918.0,20260.0,29624.0,18686.0
2.0,0.0,0.1,0.002295366721227765,0.0017604827880859375,5.73016357421875,1.3997986316680908,0.031494140625,0.00011259317398071289,0.0008525848388671875,0.0005955696105957031,0.0008554458618164062,0.00026154518127441406,0.00038933753967285156,0.0001418590545654297,0.00012290477752685547,0.00022745132446289062,0.00016069412231445312,0.00010925531387329102,0.00010699033737182617,8.779764175415039e-05,0.00010788440704345703,7.045269012451172e-05,7.444620132446289e-05,7.039308547973633e-05,8.189678192138672e-05,9.196996688842773e-05,17467.0,11578.0,16787.0,432.0,20374.0,2023.0,3072.0,28156.0,15020.0,29992.0,4525.0,3671.0,2005.0,734.0,29987.0,526.0,24918.0,20260.0,29624.0,10815.0
3.0,0.0,0.1,0.00229943566955626,0.0016775131225585938,3.601851463317871,1.3441121578216553,0.049102783203125,0.00016748905181884766,0.0029468536376953125,0.0011987686157226562,0.0018625259399414062,0.0008196830749511719,0.0013151168823242188,0.0002562999725341797,0.0001850128173828125,0.00031065940856933594,0.00033164024353027344,0.00014209747314453125,0.00013053417205810547,9.012222290039062e-05,0.00012564659118652344,0.00011843442916870117,0.0001245737075805664,0.00010323524475097656,9.21487808227539e-05,0.0001976490020751953,14155.0,11494.0,1317.0,432.0,6695.0,11293.0,3072.0,28156.0,15020.0,8680.0,4525.0,1009.0,511.0,8918.0,4721.0,12048.0,8980.0,20260.0,4088.0,26259.0
4.0,0.0,0.1,0.00230818847194314,0.0015878677368164062,3.0292205810546875,1.525199294090271,0.09478759765625,0.0002722740173339844,0.00588226318359375,0.00495147705078125,0.0028285980224609375,0.0016164779663085938,0.0038242340087890625,0.000453948974609375,0.0002524852752685547,0.0004410743713378906,0.0005502700805664062,0.0002181529998779297,0.0002390146255493164,0.00011962652206420898,0.00016582012176513672,0.00018918514251708984,0.00026702880859375,0.0001666545867919922,0.00011771917343139648,0.0004379749298095703,14155.0,11494.0,1317.0,2166.0,20374.0,11293.0,3072.0,28156.0,20365.0,11275.0,4525.0,450.0,511.0,511.0,4721.0,12048.0,8980.0,1913.0,16391.0,26259.0
5.0,0.0,0.1,0.002302427776157856,0.0014905929565429688,2.4792089462280273,1.4222453832626343,0.1605224609375,0.0003962516784667969,0.00914764404296875,0.01499176025390625,0.004276275634765625,0.0021648406982421875,0.00814056396484375,0.000762939453125,0.00034356117248535156,0.0005259513854980469,0.0007357597351074219,0.0003464221954345703,0.000507354736328125,0.000213623046875,0.0002014636993408203,0.00025844573974609375,0.00042700767517089844,0.00040912628173828125,0.0002541542053222656,0.0009636878967285156,14155.0,7718.0,1317.0,1102.0,13345.0,11293.0,3072.0,28156.0,20365.0,11275.0,4525.0,450.0,511.0,511.0,13355.0,12048.0,8313.0,1913.0,910.0,26259.0
6.0,0.0,0.1,0.0022927052341401577,0.0014028549194335938,1.9023706912994385,1.4183199405670166,0.234619140625,0.0006470680236816406,0.01212310791015625,0.0237579345703125,0.007015228271484375,0.0038299560546875,0.0111846923828125,0.001220703125,0.0004642009735107422,0.0005421638488769531,0.0008440017700195312,0.0005125999450683594,0.0011110305786132812,0.00043463706970214844,0.0002703666687011719,0.00031757354736328125,0.0006389617919921875,0.0009021759033203125,0.000988006591796875,0.0017566680908203125,14155.0,7718.0,1317.0,1102.0,13345.0,1966.0,3072.0,28156.0,20365.0,11275.0,4525.0,1009.0,511.0,511.0,8867.0,27051.0,21353.0,1913.0,910.0,26259.0
7.0,0.0,0.1,0.0022766778711229563,0.0013179779052734375,2.3010752201080322,1.514478325843811,0.306884765625,0.00093841552734375,0.01461029052734375,0.055511474609375,0.01113128662109375,0.00716400146484375,0.0122833251953125,0.0018377304077148438,0.000614166259765625,0.0008120536804199219,0.0008392333984375,0.0006728172302246094,0.00222015380859375,0.0008692741394042969,0.0003981590270996094,0.0004558563232421875,0.0010309219360351562,0.0017185211181640625,0.003322601318359375,0.00231170654296875,14155.0,7718.0,1317.0,1102.0,13345.0,1966.0,3072.0,28156.0,20365.0,70.0,4525.0,1009.0,511.0,511.0,21621.0,27051.0,4124.0,1913.0,910.0,21569.0
8.0,0.0,0.1,0.0022650498431175947,0.0012540817260742188,1.6763842105865479,1.242308259010315,0.336181640625,0.001308441162109375,0.0167083740234375,0.059906005859375,0.015777587890625,0.01308441162109375,0.01245880126953125,0.0025463104248046875,0.0008320808410644531,0.0012607574462890625,0.0012826919555664062,0.0008115768432617188,0.003841400146484375,0.0016088485717773438,0.0006494522094726562,0.0006804466247558594,0.0016040802001953125,0.0026226043701171875,0.007129669189453125,0.003631591796875,14155.0,7718.0,1317.0,5094.0,13345.0,1966.0,3072.0,28156.0,20365.0,70.0,88.0,126.0,511.0,511.0,21621.0,27051.0,4124.0,1913.0,910.0,24289.0
9.0,0.0,0.1,0.002247472759336233,0.0011959075927734375,1.3145166635513306,1.2107614278793335,0.344970703125,0.002140045166015625,0.01837158203125,0.06951904296875,0.01523590087890625,0.02099609375,0.0131378173828125,0.0033473968505859375,0.0011358261108398438,0.0018711090087890625,0.0020771026611328125,0.0014276504516601562,0.0057220458984375,0.002719879150390625,0.0010023117065429688,0.001026153564453125,0.002399444580078125,0.0033664703369140625,0.01003265380859375,0.00533294677734375,14155.0,23369.0,1317.0,5094.0,13345.0,1966.0,2293.0,28156.0,20365.0,70.0,88.0,126.0,511.0,511.0,21621.0,27051.0,4124.0,1913.0,910.0,24289.0
10.0,0.0,0.1,0.0022247866727411747,0.0011386871337890625,1.2174121141433716,1.232352375984192,0.28271484375,0.0043182373046875,0.0193328857421875,0.07470703125,0.0215606689453125,0.03216552734375,0.0166015625,0.00484466552734375,0.0016574859619140625,0.0024852752685546875,0.0028972625732421875,0.002262115478515625,0.007717132568359375,0.0040130615234375,0.0015249252319335938,0.0017108917236328125,0.003475189208984375,0.0036602020263671875,0.00952911376953125,0.0083160400390625,14155.0,23369.0,1317.0,5094.0,5094.0,1966.0,2293.0,28156.0,20365.0,70.0,88.0,126.0,511.0,511.0,44.0,24149.0,4124.0,101.0,910.0,24289.0
